datetime	t	rh	u	vw_dir	p
20120922T120000	6.27	91	4.82	146.4	0
20120922T130000	8.07	83.6	5.15	127.95	0
20120922T140000	9.52	76.55	5.77	123.25	0
20120922T150000	10.55	72	6.19	122.15	0
20120922T160000	11.43	66.12	6.12	129.35	0
20120922T170000	11.35	64.2	5.31	121.35	0
20120922T180000	11.68	63.38	5.17	117.8	0
20120922T190000	10.71	66.33	5.64	126.65	0
20120922T200000	9.08	72.45	5.08	135.65	0
20120922T210000	8.01	76.9	5.49	129.7	0
20120922T220000	6.11	86	4.19	123.75	0
20120922T230000	6.54	82.8	3.35	151.6	0
20120923T000000	7.23	80.85	4.69	142.25	0
20120923T010000	6.94	83.35	4.33	154.15	0
20120923T020000	6.73	85	2.83	133.9	0
20120923T030000	6.21	88	1.67	121.55	0
20120923T040000	5.94	89.15	1.53	125.15	0
20120923T050000	4.92	93.4	1.19	74.65	0
20120923T060000	5.35	93.15	1.62	88.3	0
20120923T070000	6.67	89.45	2.88	148.8	0
20120923T080000	5.54	94.2	1.52	64.91	0
20120923T090000	8.08	86.9	3.12	153.35	0
20120923T100000	9.59	83.2	7.2	182.95	0
20120923T110000	10.45	80.65	8.06	186.05	0
20120923T120000	10.29	82.95	7.67	191.75	0
20120923T130000	11.48	78.85	8.93	196.05	0
20120923T140000	13.24	72.7	8.96	195.25	0
20120923T150000	15.36	64.3	8.18	201.25	0
20120923T160000	14.91	64.34	7.14	210.5	0
20120923T170000	16.13	58.83	7	208.65	0
20120923T180000	15.7	60.41	5.65	214.1	0
20120923T190000	14.49	65.05	5.77	204	0
20120923T200000	12.54	71.15	4.71	208.1	0
20120923T210000	12.02	73.9	3.87	219.05	0
20120923T220000	12.29	73	3.24	253	0
20120923T230000	11.98	74.4	3.66	248.95	0
20120924T000000	10.74	78.5	3.25	253.9	0
20120924T010000	10.62	77.45	3.5	261.65	0
20120924T020000	10.61	76.3	3.17	269.15	0
20120924T030000	10.98	74.25	2.41	268.5	0
20120924T040000	10.37	77	2.72	249.9	0
20120924T050000	9.89	80.8	3.23	248.4	0
20120924T060000	8.26	85.95	3.15	251.35	0
20120924T070000	8.64	84.85	3.21	255.2	0
20120924T080000	9.38	82.5	3.55	237.95	0
20120924T090000	9.86	81.5	4.5	211.55	0
20120924T100000	10.71	88.95	3.55	178.35	0
20120924T110000	11	92.95	2.97	254.75	0
20120924T120000	9.92	93.3	6.34	272.2	0
20120924T130000	6.5	95	8.82	287.45	0
20120924T140000	5.8	95	8.36	297.95	0.15
20120924T150000	6.04	95	7.42	303.55	0
20120924T160000	5.57	95	7.49	303.2	0
20120924T170000	5.54	95	5.81	303.75	0
20120924T180000	5.38	95	5.19	296.25	0
20120924T190000	5.07	95	5.35	292.95	0
20120924T200000	4.75	95	5.14	287.35	0.49
20120924T210000	4.61	95	5.04	288.55	0
20120924T220000	4.47	95	4.53	287.9	0.24
