yr 	   mo dy hr 	z     x		y				tdef	tair    rh         wspd   wdir      prec    
 2012  9  8 18.00   149  560599.0 7626795.2    91.0     4.43    74.30     6.96   305.80     0.00
 2012  9  8 19.00   149  560599.0 7626795.2    91.0     3.65    78.85     6.10   303.75     0.00
 2012  9  8 20.00   149  560599.0 7626795.2    91.0     2.82    84.70     5.30   291.65     0.00
 2012  9  8 21.00   149  560599.0 7626795.2    91.0     2.33    90.70     5.16   289.60     0.13
 2012  9  8 22.00   149  560599.0 7626795.2    91.0     2.12    92.15     5.31   292.05     0.00
 2012  9  8 23.00   149  560599.0 7626795.2    91.0     1.44    95.00     5.33   285.60     0.00
 2012  9  9  0.00   149  560599.0 7626795.2    91.0     1.36    95.00     5.38   291.80     0.00
 2012  9  9  1.00   149  560599.0 7626795.2    91.0     1.24    95.00     5.20   289.35     0.00
 2012  9  9  2.00   149  560599.0 7626795.2    91.0     1.64    95.00     5.26   285.35     0.47
 2012  9  9  3.00   149  560599.0 7626795.2    91.0     1.45    95.00     5.79   286.40     0.00
 2012  9  9  4.00   149  560599.0 7626795.2    91.0     1.27    95.00     4.94   279.60     0.00
 2012  9  9  5.00   149  560599.0 7626795.2    91.0     1.44    95.00     4.99   286.20     0.00
 2012  9  9  6.00   149  560599.0 7626795.2    91.0     1.76    95.00     5.10   292.50     0.00
 2012  9  9  7.00   149  560599.0 7626795.2    91.0     2.02    95.00     5.33   295.20     0.00
 2012  9  9  8.00   149  560599.0 7626795.2    91.0     2.46    95.00     5.33   298.70     0.00
 2012  9  9  9.00   149  560599.0 7626795.2    91.0     2.97    95.00     5.41   309.15     0.47
 2012  9  9 10.00   149  560599.0 7626795.2    91.0     3.42    95.00     4.49   318.65     0.00
 2012  9  9 11.00   149  560599.0 7626795.2    91.0     3.87    94.95     4.08   324.95     0.00
 2012  9  9 12.00   149  560599.0 7626795.2    91.0     4.36    90.15     4.24   333.15     0.00
